Script Name,Category,Sector,Price (in rupees),Market Cap (in crores),Source,ETL Date
Flipkart India Private Limited,Unlisted,eCommerce,"231,001.00","283,928.180",wwipl,2023-09-09
National Stock Exchange of India Limited,Unlisted,Financial Service,"3,300.00","163,350.000",wwipl,2023-09-09
Tata Capital Limited,Unlisted,Investment & Holding,425.00,"151,305.093",wwipl,2023-09-09
Capgemini Technology Services India Limited,Delisted,"IT, Software","10,100.00","59,864.009",wwipl,2023-09-09
Bundl Technologies Private Limited,Unlisted,Food Delivery,361.00,"59,315.077",wwipl,2023-09-09
SBI Funds Management Limited,Unlisted,Financial Service,"1,055.00","53,089.097",wwipl,2023-09-09
HDB Financial Services Limited,Unlisted,Financial Service,655.00,"51,836.640",wwipl,2023-09-09
Oravel Stays Limited,Pre IPO,eCommerce,72.00,"43,620.480",wwipl,2023-09-09
Tata Technologies Limited,Pre IPO,"IT, Software",925.00,"37,524.339",wwipl,2023-09-09
Nayara Energy Limited,Delisted,"Energy, Oil & Gas",230.00,"34,282.907",wwipl,2023-09-09
Go Digit,Unlisted,General Insurance,354.00,"30,940.233",wwipl,2023-09-09
HDFC Ergo General Insurance Company Limited,Unlisted,Health Insurance,370.00,"26,440.792",wwipl,2023-09-09
Anheuser Busch Inbev India Limited,Delisted,Breweries & Distilleries,365.00,"22,505.093",wwipl,2023-09-09
Atlas Copco India Private Limited,Delisted,Equipment,"10,000.00","21,871.393",wwipl,2023-09-09
Roppen Transportation Services Pvt Ltd,Unlisted,Transport,"16,645.00","21,664.067",wwipl,2023-09-09
Hexaware Technologies Limited,Delisted,"IT, Software",580.00,"17,645.058",wwipl,2023-09-09
Waaree Energies Limited,Pre IPO,Renewable Energy,725.00,"17,644.040",wwipl,2023-09-09
HDFC Securities Limited,Unlisted,Financial Service,"11,100.00","17,643.006",wwipl,2023-09-09
Shriram General Insurance Co Limited,Unlisted,General Insurance,630.00,"16,327.253",wwipl,2023-09-09
Care Health Insurance Limited,Unlisted,Health Insurance,171.00,"16,112.143",wwipl,2023-09-09
Hero FinCorp Limited,Unlisted,Financial Service,"1,160.00","14,767.574",wwipl,2023-09-09
PNB Metlife India Insurance Company Limited,Unlisted,Life Insurance,70.00,"14,090.190",wwipl,2023-09-09
National Securities Depository Limited,Pre IPO,Financial Service,700.00,"14,000.000",wwipl,2023-09-09
SBI General Insurance Company Ltd,Unlisted,General Insurance,569.00,"12,387.996",wwipl,2023-09-09
Vikram Solar Limited,Pre IPO,Renewable Energy,350.00,"9,059.050",wwipl,2023-09-09
Imagine Marketing Limited,Pre IPO,Consumer Durable,890.00,"8,546.697",wwipl,2023-09-09
Reliance General Insurance Company Limited,Unlisted,General Insurance,333.00,"8,437.084",wwipl,2023-09-09
Acevector Limited,Unlisted,eCommerce,200.00,"7,946.118",wwipl,2023-09-09
Signify Innovations India Limited,Unlisted,Consumer Durable,"1,375.00","7,908.621",wwipl,2023-09-09
Cochin International Airport Limited,Unlisted,Airport,186.00,"7,115.890",wwipl,2023-09-09
Chennai Super Kings Cricket Limited,Unlisted,Sports Franchisee,169.00,"6,412.283",wwipl,2023-09-09
API Holdings Ltd,Pre IPO,eCommerce,9.80,"6,019.200",wwipl,2023-09-09
Motilal Oswal Home Finance Limited,Unlisted,Financial Service,9.25,"5,580.938",wwipl,2023-09-09
Lava International Limited,Pre IPO,Consumer Durable,90.00,"5,179.192",wwipl,2023-09-09
Philips India Limited,Delisted,Healthcare,875.00,"5,032.759",wwipl,2023-09-09
Shriram Life Insurance Company Limited,Unlisted,Life Insurance,261.00,"4,681.688",wwipl,2023-09-09
Otis Elevator Company India Ltd,Delisted,Machinery,"3,750.00","4,428.083",wwipl,2023-09-09
Paymate India Limited,Unlisted,Financial Service,360.00,"4,309.376",wwipl,2023-09-09
ESL Steel Limited,Delisted,"Metal, Steel & Iron",22.90,"4,234.279",wwipl,2023-09-09
Incred Financial Services Limited,Unlisted,Financial Service,100.00,"3,881.337",wwipl,2023-09-09
Indian Potash Limited,Unlisted,Fertilisers,"1,300.00","3,717.636",wwipl,2023-09-09
LE Travenues Technology Limited,Pre IPO,Tours & Travels,94.00,"3,588.320",wwipl,2023-09-09
Sterlite Power Transmission Limited,Unlisted,Power & Electricity,570.00,"3,487.260",wwipl,2023-09-09
Merino Industries Limited,Unlisted,Plywood & Laminates,"3,030.00","3,446.679",wwipl,2023-09-09
Versuni India Home Solutions Limited,Unlisted,Consumer Durable,590.00,"3,393.517",wwipl,2023-09-09
Polymatech Electronics Limited,Unlisted,Electricals,450.00,"3,234.429",wwipl,2023-09-09
Goa Shipyard Limited,Unlisted,Shipping,272.00,"3,166.182",wwipl,2023-09-09
Carrier Airconditioning and Refrigeration Limited,Delisted,Airconditioning,290.00,"3,084.926",wwipl,2023-09-09
ELCID Investments Limited,Illiquid/unquoted,Financial Service,"150,999.00","3,019.980",wwipl,2023-09-09
Fincare Small Finance Bank Limited,Unlisted,Financial Service,136.00,"3,002.604",wwipl,2023-09-09
The Hindustan Times Limited,Unlisted,Media,730.00,"2,996.092",wwipl,2023-09-09
B9 Beverages Limited,Unlisted,Breweries & Distilleries,590.00,"2,818.318",wwipl,2023-09-09
BVG India Limited,Unlisted,Facility Management,"1,020.00","2,717.770",wwipl,2023-09-09
Camac Commercial Company Limited,Illiquid/unquoted,Real Estate,"28,800.00","2,542.464",wwipl,2023-09-09
TRL Krosaki Refractories Limited,Unlisted,"Metal, Steel & Iron","1,200.00","2,508.000",wwipl,2023-09-09
Bharat Nidhi Limited,Unlisted,Other,"8,600.00","2,494.568",wwipl,2023-09-09
C and S Electric Limited,Unlisted,Electric Equipment,550.00,"2,434.743",wwipl,2023-09-09
DFM Foods Limited,Delisted,FMCG,467.00,"2,347.854",wwipl,2023-09-09
Bofa Securities India Limited,Unlisted,Financial Service,"1,000.00","2,315.504",wwipl,2023-09-09
Digvijay Finlease Limited,Unlisted,Financial Service,"1,600.00","2,121.507",wwipl,2023-09-09
PNB Finance And Industries Limited,Unlisted,NBFC,"6,555.00","2,097.600",wwipl,2023-09-09
Hutti Gold Mines Company Limited,Unlisted,Mining & Minerals,"70,700.00","2,094.162",wwipl,2023-09-09
ESDS Software Solution Limited,Pre IPO,"IT, Software",225.00,"2,090.119",wwipl,2023-09-09
Kurlon Enterprise Limited,Unlisted,Consumer Durable,560.00,"2,046.927",wwipl,2023-09-09
Taparia Tools Limited,Illiquid/unquoted,Other,"1,313.00","1,992.970",wwipl,2023-09-09
Inox Leasing And Finance Limited,Unlisted,Financial Service,"2,000.00","1,980.010",wwipl,2023-09-09
Hotahoti Wood Products Limited,Illiquid/unquoted,Financial Service,990.00,"1,979.996",wwipl,2023-09-09
Arohan Financial Services Limited,Unlisted,Financial Service,125.00,"1,977.227",wwipl,2023-09-09
Utkarsh Coreinvest Limited,Unlisted,Financial Service,190.00,"1,869.998",wwipl,2023-09-09
Fino PayTech Limited,Unlisted,Financial Service,140.00,"1,863.088",wwipl,2023-09-09
Tongani Tea Company Limited,Unlisted,"Tea, Coffee & Plantation","1,000.00","1,857.750",wwipl,2023-09-09
One Mobikwik Systems Limited,Pre IPO,Financial Service,320.00,"1,829.905",wwipl,2023-09-09
Studds Accessories Limited,Unlisted,Safety Accessories,835.00,"1,643.004",wwipl,2023-09-09
CTR Manufacturing Industries Private Limited,Unlisted,Electric Equipment,"90,000.00","1,594.710",wwipl,2023-09-09
Bharat Hotels Limited,Delisted,Hotel or Catering,205.00,"1,557.820",wwipl,2023-09-09
GKN Driveline India Limited,Delisted,Auto Ancillaries,"1,175.00","1,500.835",wwipl,2023-09-09
Fincare Business Services Limited,Unlisted,Financial Service,45.50,"1,500.363",wwipl,2023-09-09
IKF Finance Limited,Unlisted,Financial Service,221.00,"1,427.109",wwipl,2023-09-09
National Commodity And Derivatives Exchange Limited,Unlisted,Financial Service,275.00,"1,393.590",wwipl,2023-09-09
Indofil Industries Limited,Unlisted,Pesticides,650.00,"1,387.825",wwipl,2023-09-09
Mohan Meakin Limited,Unlisted,Breweries & Distilleries,"1,625.00","1,382.628",wwipl,2023-09-09
Arch Pharma Labs Limited,Delisted,Other,90.10,"1,368.826",wwipl,2023-09-09
Manjushree Technopack Limited,Delisted,Packaging,"1,010.00","1,368.318",wwipl,2023-09-09
Orbis Financial Corporation Limited,Unlisted,Financial Service,115.00,"1,306.780",wwipl,2023-09-09
Capital Small Finance Bank Limited,Pre IPO,Financial Service,375.00,"1,287.696",wwipl,2023-09-09
Kannur International Airport Limited,Unlisted,Airport,93.00,"1,244.702",wwipl,2023-09-09
Gandhar Oil Refinery India Limited,Unlisted,"Energy, Oil & Gas",300.00,"1,221.699",wwipl,2023-09-09
Afcons Infrastructure Limited,Unlisted,Construction,34.00,"1,158.510",wwipl,2023-09-09
India Exposition Mart Limited,Pre IPO,Other,135.00,"1,004.733",wwipl,2023-09-09
SMC Global Securities Limited,Illiquid/unquoted,Financial Service,88.00,995.583,wwipl,2023-09-09
Ambadi Investments Limited,Unlisted,Investment & Holding,"4,000.00",977.209,wwipl,2023-09-09
Infrastructure Leasing And Financial Services Ltd,Unlisted,Infrastructure,70.00,898.823,wwipl,2023-09-09
A V Thomas And Company Limited,Unlisted,"Tea, Coffee & Plantation","16,750.00",787.585,wwipl,2023-09-09
Maharaja Shree Umaid Mills Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",125.00,743.606,wwipl,2023-09-09
Kanara Consumer Products Ltd,Unlisted,Household Products,490.00,729.248,wwipl,2023-09-09
Dalmia Bharat Refractories Limited,Illiquid/unquoted,"Metal, Steel & Iron",148.00,654.162,wwipl,2023-09-09
Orissa Sponge Iron And Steel Limited,Suspended,"Metal, Steel & Iron",219.00,652.401,wwipl,2023-09-09
Vanaz Engineers Limited,Unlisted,Auto Ancillaries,"3,000.00",647.316,wwipl,2023-09-09
Lakeshore Hospital And Research Centre Ltd,Unlisted,Hospital,64.00,640.000,wwipl,2023-09-09
Sital Leasing And Finance Limited,Illiquid/unquoted,Financial Service,10.00,612.574,wwipl,2023-09-09
Carol Info Services Limited,Delisted,"IT, Software",171.00,605.964,wwipl,2023-09-09
Sri Sarvaraya Sugars Limited,Illiquid/unquoted,Sugar,"1,920.00",585.232,wwipl,2023-09-09
Essel Mining and Industries Limited,Unlisted,Mining & Minerals,2.90,576.605,wwipl,2023-09-09
Axles India Limited,Unlisted,Auto Ancillaries,220.00,560.794,wwipl,2023-09-09
Deepak Industries Limited,Unlisted,Auto Components,"1,400.00",553.901,wwipl,2023-09-09
Trident India Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",1.10,549.939,wwipl,2023-09-09
Jolly Board Limited,Unlisted,Forestry & Wood,"12,000.00",545.604,wwipl,2023-09-09
Transformers And Electricals Kerala Limited,Delisted,Electric Equipment,125.00,537.092,wwipl,2023-09-09
Elofic Industries Limited,Unlisted,Auto Ancillaries,"2,100.00",526.758,wwipl,2023-09-09
Alba Polymers Limited,Illiquid/unquoted,Service,350.00,514.946,wwipl,2023-09-09
Roots Multiclean Limited,Unlisted,Other,"2,520.00",504.000,wwipl,2023-09-09
Midland Microfin Limited,Unlisted,Financial Service,110.00,501.272,wwipl,2023-09-09
Parry Agro Industries Limited,Delisted,Agro Products,"1,200.00",450.818,wwipl,2023-09-09
Martin And Harris Laboratories Limited,Unlisted,Pharma,"1,080.00",431.572,wwipl,2023-09-09
Metropolitan Stock Exchange Of India Limited,Unlisted,Financial Service,0.86,414.107,wwipl,2023-09-09
Frick India Limited,Illiquid/unquoted,Auto Ancillaries,"6,900.00",413.983,wwipl,2023-09-09
Jana Small Finance Bank Limited,Unlisted,Financial Service,75.00,412.340,wwipl,2023-09-09
Lotte India Corporation Limited,Delisted,Other,350.00,380.232,wwipl,2023-09-09
Balmer Lawrie Van Leer Limited,Unlisted,Packaging,199.00,357.699,wwipl,2023-09-09
Credo Mineral Industries Limited,Unlisted,Mining & Minerals,54.00,354.710,wwipl,2023-09-09
Ganga Care Hospital Limited,Unlisted,Healthcare,298.00,353.503,wwipl,2023-09-09
Akme Fintrade India Limited,Unlisted,NBFC,110.00,348.425,wwipl,2023-09-09
Hira Ferro Alloys Limited,Delisted,"Metal, Steel & Iron",150.00,347.828,wwipl,2023-09-09
Honeywell Electrical Devices And Systems India Limited,Unlisted,Electric Equipment,"3,600.00",342.590,wwipl,2023-09-09
Maharashtra Knowledge Corporation Limited,Unlisted,Education,420.00,339.368,wwipl,2023-09-09
Xerox India Limited,Delisted,Office Automation,74.10,332.027,wwipl,2023-09-09
U P Electricals Limited,Illiquid/unquoted,Electricals,172.65,317.900,wwipl,2023-09-09
Ring Plus Aqua Limited,Unlisted,Auto Components,405.00,314.145,wwipl,2023-09-09
Blossom Industries Limited,Unlisted,Breweries & Distilleries,85.00,313.579,wwipl,2023-09-09
Turanth Suraksha Insurance Web Aggregator Private Limited,Unlisted,Financial Service,700.00,308.147,wwipl,2023-09-09
Rasoi Limited,Delisted,FMCG,"31,500.00",304.290,wwipl,2023-09-09
Godavari Biorefineries Limited,Pre IPO,Miscellaneous,71.00,297.795,wwipl,2023-09-09
Danfoss Systems Limited,Unlisted,Power & Electricity,425.00,295.800,wwipl,2023-09-09
Gannon Dunkerley and Co Limited,Unlisted,Other,"1,100.00",295.680,wwipl,2023-09-09
Indian Commodity Exchange Limited,Unlisted,Financial Service,4.00,294.400,wwipl,2023-09-09
Moneytech Finlease Limited,Illiquid/unquoted,Financial Service,372.00,286.280,wwipl,2023-09-09
Eastern Investments Limited,Illiquid/unquoted,Financial Service,"2,000.00",283.791,wwipl,2023-09-09
ETA Karnataka Estates Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",130.00,279.583,wwipl,2023-09-09
Capricon Realty Limited,Unlisted,Real Estate,"300,006.00",269.915,wwipl,2023-09-09
Verum Properties Limited,Illiquid/unquoted,Real Estate,391.25,258.127,wwipl,2023-09-09
Schneider Electric President Systems Limited,Delisted,Electric Equipment,426.00,257.645,wwipl,2023-09-09
Hella India Lighting Limited,Unlisted,Auto Components,810.00,256.883,wwipl,2023-09-09
Panasonic Appliances India Company Limited,Delisted,Household Products,202.00,256.070,wwipl,2023-09-09
Garg Acrylics Limited,Illiquid/unquoted,Miscellaneous,383.75,254.917,wwipl,2023-09-09
San Engineering And Locomotive Company Limited,Unlisted,Auto Components,550.00,244.750,wwipl,2023-09-09
India Carbon Limited,Unlisted,Chemical,900.00,238.500,wwipl,2023-09-09
AMNS Ports India Limited,Unlisted,Shipping,35.10,231.956,wwipl,2023-09-09
NCL Buildtek Limited,Unlisted,Building Materials,195.00,225.615,wwipl,2023-09-09
ACS Technologies Limited,Unlisted,"IT, Software",40.00,222.968,wwipl,2023-09-09
UP Twiga Fiberglass Limited,Unlisted,Other,280.00,222.343,wwipl,2023-09-09
Mcnally Sayaji Engineering Limited,Illiquid/unquoted,Equipment,175.00,220.312,wwipl,2023-09-09
Inkel Limited,Unlisted,Infrastructure,12.00,213.377,wwipl,2023-09-09
Hindusthan Engineering And Industries Ltd,Unlisted,Other,144.00,212.334,wwipl,2023-09-09
Wintac Limited,Delisted,Pharma,207.00,207.502,wwipl,2023-09-09
IHP Finvest Limited,Unlisted,Financial Service,"3,600.00",205.122,wwipl,2023-09-09
Malayalam Communications Limited,Unlisted,Entertainment,"25,000.00",197.280,wwipl,2023-09-09
Berar Finance Limited,Delisted,Financial Service,155.00,191.221,wwipl,2023-09-09
Nayara Energy Limited 8 NCD 15DC25 FVRS350,Delisted,"Energy, Oil & Gas",255.00,187.125,wwipl,2023-09-09
Pharmed Limited,Delisted,Healthcare,430.00,185.167,wwipl,2023-09-09
T Stanes and Company Limited,Unlisted,Hotel or Catering,770.00,182.196,wwipl,2023-09-09
J K Cotton Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",36.00,174.004,wwipl,2023-09-09
Resins and Plastics Limited,Illiquid/unquoted,Other,415.00,173.150,wwipl,2023-09-09
Gujarat NRE Coke Limited,Suspended,Other,1.00,165.094,wwipl,2023-09-09
Bagrrys India Private Limited,Unlisted,FMCG,"2,100.00",161.618,wwipl,2023-09-09
Empire Spices and Foods Limited,Unlisted,FMCG,329.00,159.257,wwipl,2023-09-09
Maxvalue Credits And Investments Limited,Unlisted,Financial Service,5.10,158.891,wwipl,2023-09-09
Bliss Enterprises,Unlisted,Miscellaneous,18.00,154.625,wwipl,2023-09-09
J K Investo Trade India Limited,Delisted,Investment & Holding,210.00,153.766,wwipl,2023-09-09
Midland Rubber And Produce Co Ltd,Unlisted,"Tea, Coffee & Plantation","3,880.00",150.965,wwipl,2023-09-09
The Indian Steel And Wire Products Limited,Delisted,"Metal, Steel & Iron",250.00,149.797,wwipl,2023-09-09
Asiatic Oxygen Ltd,Unlisted,Chemical,900.00,148.687,wwipl,2023-09-09
Panasonic AVC Networks India Company Limited,Unlisted,Other,29.00,145.000,wwipl,2023-09-09
Mitsubishi Heavy Industries India Precision Tools Limited,Unlisted,Other,207.00,144.279,wwipl,2023-09-09
The Delhi Flour Mills Company Limited,Unlisted,Food & Beverages,720.13,131.480,wwipl,2023-09-09
The Ramaraju Surgical Cotton Mills Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",320.00,127.933,wwipl,2023-09-09
Asscher Enterprises Limited,Unlisted,Trading,111.00,126.536,wwipl,2023-09-09
Vajresh Consultants Limited,Unlisted,Other,110.00,126.072,wwipl,2023-09-09
Bhishma Realty Limited,Unlisted,Real Estate,"125,100.00",123.749,wwipl,2023-09-09
The Hooghly Mills Company Ltd,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",150.00,119.070,wwipl,2023-09-09
The Mysore Lamp Work Ltd,Unlisted,Other,100.00,118.102,wwipl,2023-09-09
Proyuga Advanced Technologies Limited,Unlisted,Artificial Intelligence,25.00,113.388,wwipl,2023-09-09
Mohindra Fasteners Limited,Unlisted,Other,190.00,111.958,wwipl,2023-09-09
The Mysore Paper Mills Limited,Unlisted,Paper,9.00,107.004,wwipl,2023-09-09
Electronica Plastic Machines Limited,Delisted,Equipment,"4,100.00",104.977,wwipl,2023-09-09
Roop Ultrasonix Limited,Unlisted,Other,150.00,104.498,wwipl,2023-09-09
English Indian Clays Limited,Unlisted,Other,20.50,103.066,wwipl,2023-09-09
OEN India Limited,Delisted,Auto LCVS & HCVS,200.00,101.985,wwipl,2023-09-09
Arkfin Investments Private Limited,Unlisted,NBFC,50.00,100.231,wwipl,2023-09-09
Electronica Finance Limited,Delisted,NBFC,34.00,98.872,wwipl,2023-09-09
Bombay Swadeshi Stores Limited,Unlisted,Other,200.00,98.800,wwipl,2023-09-09
Market Simplified India Limited,Unlisted,"IT, Software",44.00,94.113,wwipl,2023-09-09
MSE Financial Services Limited,Unlisted,Financial Service,7.00,93.877,wwipl,2023-09-09
Cable Corporation of India Ltd,Delisted,Cables,12.10,93.517,wwipl,2023-09-09
Balasore Alloys Limited,Suspended,Metal,10.00,93.325,wwipl,2023-09-09
Avlokiteshvar Valinv Limited,Unlisted,Financial Service,250.00,92.284,wwipl,2023-09-09
Anglo French Drugs And Industries Limited,Illiquid/unquoted,Pharma,745.00,91.887,wwipl,2023-09-09
Smile Microfinance Limited,Unlisted,Financial Service,52.00,90.166,wwipl,2023-09-09
Anugraha Valve Castings Limited,Unlisted,Hotel or Catering,255.00,89.926,wwipl,2023-09-09
Mint Investments Limited,Illiquid/unquoted,Investment & Holding,162.00,89.748,wwipl,2023-09-09
ICL Fincorp Limited,Unlisted,Financial Service,20.10,89.113,wwipl,2023-09-09
Shivalik Agro Poly Products Ltd,Unlisted,Plastic,970.00,85.942,wwipl,2023-09-09
KLM Axiva Finvest Limited,Pre IPO,Financial Service,16.20,85.499,wwipl,2023-09-09
Partap Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",399.70,85.332,wwipl,2023-09-09
Salaya Bulk Terminals Limited,Unlisted,Shipping,20.20,84.417,wwipl,2023-09-09
Beetel Teletech Limited,Unlisted,Telecomm,165.00,84.012,wwipl,2023-09-09
Apex Auto Limited,Unlisted,Auto Components,150.00,83.010,wwipl,2023-09-09
SPML India Limited,Illiquid/unquoted,Financial Service,20.45,80.625,wwipl,2023-09-09
Consolidated Construction Consortium Limited,Delisted,Construction,2.00,79.702,wwipl,2023-09-09
Merind Limited,Delisted,Investment & Holding,216.00,78.667,wwipl,2023-09-09
Webfil Limited,Unlisted,Digital Equipment,92.00,78.499,wwipl,2023-09-09
Naga Limited,Illiquid/unquoted,FMCG,55.00,78.364,wwipl,2023-09-09
Dalmia Laminators Limited,Illiquid/unquoted,Other,191.00,78.024,wwipl,2023-09-09
Sunayana Investment Company Limited,Illiquid/unquoted,Investment & Holding,34.00,75.623,wwipl,2023-09-09
Genesis Finance Company Limited,Illiquid/unquoted,Financial Service,15.95,74.003,wwipl,2023-09-09
Gammon India Limited,Suspended,Building Materials,2.00,73.769,wwipl,2023-09-09
Mayasheel Retail India Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",25.00,73.750,wwipl,2023-09-09
Kingfisher Airlines Limited,Delisted,Other,0.91,73.594,wwipl,2023-09-09
Sree Satyanarayana Spinning Mills Ltd,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",700.00,73.507,wwipl,2023-09-09
ELGI Ultra Industries Limited,Unlisted,Household Products,400.00,72.396,wwipl,2023-09-09
KCL Limited,Illiquid/unquoted,Paper,233.00,69.902,wwipl,2023-09-09
Guindy Machine Tools Limited,Unlisted,Equipment,191.00,69.367,wwipl,2023-09-09
Premier Cryogenics Limited,Unlisted,"Energy, Oil & Gas",140.00,68.935,wwipl,2023-09-09
Sasvitha Home Finance Limited,Unlisted,Financial Service,25.00,67.223,wwipl,2023-09-09
Tarini Enterprises Limited,Illiquid/unquoted,Retail,198.60,66.988,wwipl,2023-09-09
Anand I Power Limited,Delisted,Auto Ancillaries,20.00,66.673,wwipl,2023-09-09
Vam Holdings Limited,Unlisted,Investment & Holding,"1,800.00",65.646,wwipl,2023-09-09
Placid Limited,Unlisted,NBFC,"1,207.00",64.827,wwipl,2023-09-09
Absolute Sports Private Limited,Unlisted,Media,"3,303.00",62.316,wwipl,2023-09-09
Manipal Housing Finance Syndicate Limited,Unlisted,NBFC,72.50,61.663,wwipl,2023-09-09
Sri Vishnu Shankar Mill Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",405.00,60.750,wwipl,2023-09-09
Gobind Sugar Mills Limited,Unlisted,Other,125.00,55.913,wwipl,2023-09-09
Mewar Polytex Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",171.00,55.233,wwipl,2023-09-09
Assam Carbon Products Limited,Unlisted,Electricity,200.00,55.112,wwipl,2023-09-09
BGSE Properties and Securities Limited,Unlisted,Financial Service,15.00,55.038,wwipl,2023-09-09
Mysore Paints And Varnish Limited,Unlisted,Paint & Varnishes,520.00,53.901,wwipl,2023-09-09
Farmax India Limited,Delisted,FMCG,1.00,53.417,wwipl,2023-09-09
