Script Name,Category,Sector,Price (in rupees),Market Cap (in crores),Source,ETL Date
Atlas Cycles Haryana Ltd,Suspended,FMCG,5.00,3.252,wwipl,2023-09-09
Fiber Plus Industries Limited,Illiquid/unquoted,Miscellaneous,10.00,3.248,wwipl,2023-09-09
RR Corporate Securities Limited,Illiquid/unquoted,Financial Service,10.00,3.200,wwipl,2023-09-09
Vadilal Dairy International Limited,Delisted,Dairy,10.00,3.194,wwipl,2023-09-09
Austral Coke and Projects Limited,Suspended,Metal,0.11,3.193,wwipl,2023-09-09
Ritman Infra Limited,Illiquid/unquoted,Real Estate,10.00,3.193,wwipl,2023-09-09
Technical Associates Infrapower Limited,Illiquid/unquoted,Engineering,5.30,3.180,wwipl,2023-09-09
Regal Enterprises Limited,Illiquid/unquoted,Miscellaneous,10.00,3.165,wwipl,2023-09-09
Prabhat Securities Limited,Illiquid/unquoted,Financial Service,10.80,3.132,wwipl,2023-09-09
Aurum Capital Projects Limited,Illiquid/unquoted,Financial Service,9.70,3.114,wwipl,2023-09-09
Tarangini Investments Limited,Illiquid/unquoted,Investment & Holding,1.00,3.106,wwipl,2023-09-09
River Front Hotels Limited,Illiquid/unquoted,Hotel or Catering,10.30,3.098,wwipl,2023-09-09
Encore Business System Limited,Illiquid/unquoted,Miscellaneous,10.00,3.097,wwipl,2023-09-09
Gracious Vanijya Limited,Illiquid/unquoted,Financial Service,13.50,3.084,wwipl,2023-09-09
Jain Farms And Resorts Limited,Illiquid/unquoted,Real Estate,10.25,3.075,wwipl,2023-09-09
Grand Foundry Ltd,Delisted,"Metal, Steel & Iron",1.01,3.073,wwipl,2023-09-09
Lingapur Estates Limited,Unlisted,"Tea, Coffee & Plantation",20.00,3.068,wwipl,2023-09-09
RCS Financial Technology Limited,Illiquid/unquoted,Financial Service,10.00,3.065,wwipl,2023-09-09
Slesha Commercial Limited,Illiquid/unquoted,Financial Service,10.00,3.049,wwipl,2023-09-09
Sicom Limited,Unlisted,NBFC,0.50,3.038,wwipl,2023-09-09
Amrit India Limited,Illiquid/unquoted,Service,10.00,3.038,wwipl,2023-09-09
Samyak Corporation Limited,Illiquid/unquoted,Financial Service,9.95,3.034,wwipl,2023-09-09
Kiranglobal Business Investment Limited,Illiquid/unquoted,Financial Service,10.00,3.022,wwipl,2023-09-09
Kumar Food Industries Limited,Illiquid/unquoted,FMCG,10.00,3.000,wwipl,2023-09-09
Fedders Electric and Engineering Limited,Suspended,Engineering,0.10,3.000,wwipl,2023-09-09
Nakoda Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.01,3.000,wwipl,2023-09-09
Ellora Traders Limited,Illiquid/unquoted,Financial Service,10.00,2.992,wwipl,2023-09-09
Baghmari Tea Co Ltd,Unlisted,Other,90.00,2.970,wwipl,2023-09-09
Udaipur Cotton Mills Company Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,2.929,wwipl,2023-09-09
Greenearth Resources And Projects Limited,Delisted,Mining & Minerals,0.10,2.903,wwipl,2023-09-09
Supraneet Finance and Consultants Limited,Illiquid/unquoted,Financial Service,10.00,2.877,wwipl,2023-09-09
The Teloijan Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",160.00,2.870,wwipl,2023-09-09
SNS Laboratories Limited,Illiquid/unquoted,Financial Service,10.00,2.863,wwipl,2023-09-09
KRA Leasing Limited,Illiquid/unquoted,Financial Service,2.05,2.750,wwipl,2023-09-09
Celestial Biolabs Limited,Suspended,Pharma,1.21,2.733,wwipl,2023-09-09
JRD Finance Limited,Illiquid/unquoted,Financial Service,10.00,2.720,wwipl,2023-09-09
Distinctive Properties and Leasing Ltd,Illiquid/unquoted,Real Estate,26.85,2.678,wwipl,2023-09-09
Amarawati Tea Co Ltd,Unlisted,Other,"2,200.00",2.640,wwipl,2023-09-09
Indo Bonito Multinational Limited,Delisted,Financial Service,1.00,2.494,wwipl,2023-09-09
Hirajuli Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",160.00,2.450,wwipl,2023-09-09
Ace Stone Craft Limited,Illiquid/unquoted,Ceramics & Granite,1.04,2.443,wwipl,2023-09-09
Valecha Engineering Limited,Suspended,Engineering,1.05,2.366,wwipl,2023-09-09
Thanjavur Spinning Mill Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",20.05,2.353,wwipl,2023-09-09
Brisk Services Limited,Illiquid/unquoted,Service,31.00,2.309,wwipl,2023-09-09
Mrigaya Estate And Finance Limited,Illiquid/unquoted,Financial Service,14.45,2.211,wwipl,2023-09-09
Spangle Marketing Limited,Illiquid/unquoted,Financial Service,10.00,2.202,wwipl,2023-09-09
Dhelakhat Tea Co Ltd,Unlisted,Other,55.00,2.160,wwipl,2023-09-09
Purity Flexpack Limited,Illiquid/unquoted,Packaging,20.00,2.147,wwipl,2023-09-09
Birla Power Solution Limited,Delisted,Electric Equipment,0.01,2.135,wwipl,2023-09-09
Nidhi Services Limited,Illiquid/unquoted,Service,14.02,2.103,wwipl,2023-09-09
Kalyani Tea Co Limited,Unlisted,"Tea, Coffee & Plantation",210.00,2.075,wwipl,2023-09-09
Associated Ceramics Limited,Delisted,Engineering,10.00,2.045,wwipl,2023-09-09
E L Forge Limited,Delisted,"Metal, Steel & Iron",1.00,2.032,wwipl,2023-09-09
Eastern Dooars Tea Co ltd,Illiquid/unquoted,"Tea, Coffee & Plantation",101.00,2.020,wwipl,2023-09-09
Saanvi Advisors Limited,Illiquid/unquoted,Financial Service,10.00,2.011,wwipl,2023-09-09
Capital Finvest Limited,Illiquid/unquoted,Financial Service,10.00,2.000,wwipl,2023-09-09
Amar Vanijya Limited,Illiquid/unquoted,Miscellaneous,10.00,1.992,wwipl,2023-09-09
Pillar Investment Company Limited,Illiquid/unquoted,Investment & Holding,10.00,1.985,wwipl,2023-09-09
P R Holdings Limited,Illiquid/unquoted,Real Estate,10.00,1.890,wwipl,2023-09-09
Malankara Plantations Limited,Unlisted,"Tea, Coffee & Plantation",51.00,1.843,wwipl,2023-09-09
Kanco Enterprises Limited,Delisted,Cotton,1.00,1.793,wwipl,2023-09-09
Gujarat Wedge Wire Screens Limited,Delisted,Miscellaneous,20.00,1.645,wwipl,2023-09-09
Ritz Mercantile Limited,Illiquid/unquoted,Financial Service,15.25,1.601,wwipl,2023-09-09
Sharp Commercial Enterprises Limited,Illiquid/unquoted,Retail,10.00,1.590,wwipl,2023-09-09
Simplex Projects Limited,Suspended,Engineering,1.20,1.512,wwipl,2023-09-09
Alchemist Limited,Suspended,Miscellaneous,1.11,1.505,wwipl,2023-09-09
Nidhan Commercial Company Ltd,Illiquid/unquoted,Miscellaneous,50.40,1.504,wwipl,2023-09-09
Electra Jaipur Limited,Illiquid/unquoted,Electricals,10.00,1.496,wwipl,2023-09-09
Be Swasth Healthcare Limited,Illiquid/unquoted,Healthcare,13.25,1.483,wwipl,2023-09-09
Jeco Exports And Finance Limited,Illiquid/unquoted,Financial Service,10.00,1.482,wwipl,2023-09-09
Uttaranchal Leasing Limited,Illiquid/unquoted,Financial Service,10.10,1.414,wwipl,2023-09-09
Uddhav Properties Limited,Illiquid/unquoted,Financial Service,10.00,1.410,wwipl,2023-09-09
SNS Diagnostics Limited,Illiquid/unquoted,Financial Service,10.00,1.350,wwipl,2023-09-09
Mangalam Engineering Projects Limited,Illiquid/unquoted,Financial Service,10.10,1.237,wwipl,2023-09-09
Aditri Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",0.96,1.197,wwipl,2023-09-09
Denim Developers Limited,Illiquid/unquoted,Real Estate,1.10,1.168,wwipl,2023-09-09
SAB Electronic Devices Limited,Illiquid/unquoted,Electronics,10.00,1.160,wwipl,2023-09-09
Impala Industrial Enterprises Limited,Illiquid/unquoted,Financial Service,1.05,1.155,wwipl,2023-09-09
Abhinandan Enterprises Limited,Illiquid/unquoted,Financial Service,10.00,1.155,wwipl,2023-09-09
Avail Holding Limited,Illiquid/unquoted,Real Estate,10.00,1.150,wwipl,2023-09-09
Devrup Trading Limited,Illiquid/unquoted,Financial Service,10.00,1.130,wwipl,2023-09-09
Technofab Engineering Ltd,Suspended,Engineering,1.05,1.101,wwipl,2023-09-09
Nawratan Arts Limited,Illiquid/unquoted,Trading,10.00,1.100,wwipl,2023-09-09
Basant India Limited,Illiquid/unquoted,Financial Service,1.05,1.083,wwipl,2023-09-09
Blue Blends India Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.50,1.083,wwipl,2023-09-09
Shri Gurudev En Trade Limited,Illiquid/unquoted,Financial Service,10.00,1.076,wwipl,2023-09-09
PB Global Limited,Delisted,Pesticides,10.00,1.050,wwipl,2023-09-09
The Southern Gas Limited,Unlisted,GAS,451.00,1.015,wwipl,2023-09-09
Bhairav Enterprises Limited,Illiquid/unquoted,Financial Service,10.00,1.000,wwipl,2023-09-09
Fortune Industrial Resources Limited,Illiquid/unquoted,Financial Service,10.00,1.000,wwipl,2023-09-09
Rishabh Enterprises Limited,Illiquid/unquoted,Financial Service,10.00,1.000,wwipl,2023-09-09
Shreyans Financial And Capital Services Limited,Illiquid/unquoted,Financial Service,10.00,1.000,wwipl,2023-09-09
SNS Properties And Leasing Limited,Illiquid/unquoted,Real Estate,10.00,1.000,wwipl,2023-09-09
Skyweb Infotech Limited,Illiquid/unquoted,"IT, Software",10.00,1.000,wwipl,2023-09-09
Premium Merchants Limited,Illiquid/unquoted,Trading,10.00,0.998,wwipl,2023-09-09
Dhaval Exports Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,0.996,wwipl,2023-09-09
Infinium Precious Resources Limited,Illiquid/unquoted,Precious Metals,1.00,0.961,wwipl,2023-09-09
Porsche Capital Market Limited,Illiquid/unquoted,Financial Service,0.50,0.948,wwipl,2023-09-09
Teesta Valley Tea Company Limited,Unlisted,Agriculture & Agro Products,63.00,0.945,wwipl,2023-09-09
Winmore Leasing And Holdings Limited,Illiquid/unquoted,Investment & Holding,9.20,0.919,wwipl,2023-09-09
Emrald Commercial Limited,Illiquid/unquoted,Financial Service,0.21,0.916,wwipl,2023-09-09
Associated Finman Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,0.905,wwipl,2023-09-09
Arcuttipore Tea Company Limited,Delisted,"Tea, Coffee & Plantation",1.80,0.903,wwipl,2023-09-09
Reliance Infotek Limited,Illiquid/unquoted,Trading,1.00,0.900,wwipl,2023-09-09
NMS Resources Global Limited,Illiquid/unquoted,Service,2.85,0.857,wwipl,2023-09-09
N K Textile Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,0.840,wwipl,2023-09-09
Newage Marketing Limited,Illiquid/unquoted,Healthcare,10.00,0.836,wwipl,2023-09-09
The Arya Vaidya Pharmacy coimbatore Limited,Unlisted,Pharma,1.00,0.823,wwipl,2023-09-09
Molind Engineering Limited,Illiquid/unquoted,Engineering,3.20,0.811,wwipl,2023-09-09
Abhishek Corporation Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.50,0.800,wwipl,2023-09-09
Priya International Limited,Illiquid/unquoted,"IT, Software",7.50,0.747,wwipl,2023-09-09
Shree Vijay Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,0.743,wwipl,2023-09-09
Atlantic Commercial Company Limited,Illiquid/unquoted,Miscellaneous,10.00,0.735,wwipl,2023-09-09
Sunita Bonds and Holdings Limited,Illiquid/unquoted,Investment & Holding,10.00,0.695,wwipl,2023-09-09
Gaylord Commercial Company Limited,Illiquid/unquoted,Financial Service,10.00,0.640,wwipl,2023-09-09
Apeejay Tea Limited,Delisted,"Tea, Coffee & Plantation",101.00,0.621,wwipl,2023-09-09
Castle Traders Limited,Illiquid/unquoted,Financial Service,25.00,0.613,wwipl,2023-09-09
MVL Limited,Suspended,Real Estate,0.01,0.601,wwipl,2023-09-09
Gitanjali Gems Limited,Suspended,Miscellaneous,0.05,0.573,wwipl,2023-09-09
Shilpi Cable Technologies Limited,Delisted,Cables,0.05,0.553,wwipl,2023-09-09
Supreme Commercial Enterprises Limited,Illiquid/unquoted,Financial Service,10.00,0.536,wwipl,2023-09-09
KSK Energy Ventures Limited,Suspended,Power & Electricity,0.01,0.424,wwipl,2023-09-09
DQ Entertainment  International Limited,Suspended,Entertainment,0.05,0.396,wwipl,2023-09-09
Kabirdas Investments Limited,Illiquid/unquoted,Financial Service,1.00,0.396,wwipl,2023-09-09
Bhagheeratha Engineering Ltd,Delisted,Construction,0.50,0.391,wwipl,2023-09-09
Usher Agro Limited,Delisted,Agriculture & Agro Products,0.05,0.388,wwipl,2023-09-09
TECIL Chemicals And Hydro Power Ltd,Suspended,Chemical,0.20,0.379,wwipl,2023-09-09
Flare Finance India Limited,Illiquid/unquoted,Financial Service,0.20,0.371,wwipl,2023-09-09
Online Information Technologies Limited,Illiquid/unquoted,"IT, Software",0.20,0.319,wwipl,2023-09-09
Entegra Limited,Delisted,Power & Electricity,0.01,0.317,wwipl,2023-09-09
Rathi Steel and Power Limited,Delisted,"Metal, Steel & Iron",0.10,0.313,wwipl,2023-09-09
P K Leasing And Finance Limited,Illiquid/unquoted,Financial Service,1.00,0.311,wwipl,2023-09-09
Twenty First  Century Securities Limited,Illiquid/unquoted,Service,1.00,0.301,wwipl,2023-09-09
S Kumars Nationwide Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.01,0.297,wwipl,2023-09-09
Abacus Computers Limited,Delisted,"IT, Software",1.00,0.285,wwipl,2023-09-09
SRS Limited,Suspended,Miscellaneous,0.01,0.279,wwipl,2023-09-09
Jord Engineers India Limited,Delisted,Engineering,0.10,0.276,wwipl,2023-09-09
Besta Vision Electronics Limited,Illiquid/unquoted,Electric Equipment,0.10,0.271,wwipl,2023-09-09
VHCL Industries Limited,Delisted,Metal,0.01,0.257,wwipl,2023-09-09
Bharati Defence and Infrastructure Limited,Suspended,Shipping,0.05,0.251,wwipl,2023-09-09
Morn Media Limited,Illiquid/unquoted,Publication,5.01,0.251,wwipl,2023-09-09
Lacy Limited,Illiquid/unquoted,FMCG,5.01,0.248,wwipl,2023-09-09
SEMAYA LIMITED,Illiquid/unquoted,Financial Service,9.99,0.248,wwipl,2023-09-09
Anus Laboratories Limited,Delisted,Pharma,0.01,0.242,wwipl,2023-09-09
Moser Baer Limited,Delisted,Renewable Energy,0.01,0.222,wwipl,2023-09-09
Bilpower Limited,Delisted,"Metal, Steel & Iron",0.10,0.210,wwipl,2023-09-09
The Tropical Plantations Limited,Unlisted,"Tea, Coffee & Plantation",10.00,0.200,wwipl,2023-09-09
Resurgere Mines and Minerals Limited,Suspended,Mining & Minerals,0.01,0.199,wwipl,2023-09-09
Girdharilal Sugar and Allied Industries,Delisted,FMCG,0.10,0.192,wwipl,2023-09-09
Pochiraju Industries Limited,Delisted,Miscellaneous,0.10,0.189,wwipl,2023-09-09
Cox and Kings Financial Service Limited,Suspended,Financial Service,0.01,0.177,wwipl,2023-09-09
Euro Ceramics Limited,Suspended,Ceramics & Granite,0.05,0.169,wwipl,2023-09-09
Best and Crompton Engineering Limited,Delisted,Engineering,0.01,0.161,wwipl,2023-09-09
Talwalkars Healthclubs Limited,Suspended,Healthcare,0.05,0.155,wwipl,2023-09-09
Nu Tek India Ltd,Suspended,Telecomm,0.01,0.155,wwipl,2023-09-09
Atcom Technologies Limited,Suspended,Electronics,0.10,0.153,wwipl,2023-09-09
Laffan Software Limited,Illiquid/unquoted,"IT, Software",0.10,0.152,wwipl,2023-09-09
SM Dyechem Limited,Delisted,Dyes & Pigment,0.10,0.148,wwipl,2023-09-09
Eastern Sugar And Industries Ltd,Suspended,Sugar,0.05,0.146,wwipl,2023-09-09
Shirpur Gold Refinery Limited,Suspended,Mining & Minerals,0.05,0.146,wwipl,2023-09-09
Winsome Yarns Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.02,0.141,wwipl,2023-09-09
Namaste Exports Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.01,0.137,wwipl,2023-09-09
Surana Industries Limited,Delisted,Trading,0.03,0.134,wwipl,2023-09-09
Logic Infotech Limited,Illiquid/unquoted,Financial Service,0.05,0.132,wwipl,2023-09-09
Autoriders Finance Ltd,Delisted,Financial Service,0.10,0.131,wwipl,2023-09-09
Rakan Steels Limited,Illiquid/unquoted,"Metal, Steel & Iron",0.04,0.130,wwipl,2023-09-09
The Kohinoor Tea Co Limited,Unlisted,"Tea, Coffee & Plantation",110.01,0.129,wwipl,2023-09-09
PSL Limited,Suspended,"Metal, Steel & Iron",0.01,0.125,wwipl,2023-09-09
Zicom Electronic Security Systems Ltd,Suspended,Electronics,0.03,0.124,wwipl,2023-09-09
Hanung Toys and Textiles Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.04,0.123,wwipl,2023-09-09
Euro Multivision Limited,Suspended,Miscellaneous,0.05,0.119,wwipl,2023-09-09
XL Energy Limited,Suspended,Renewable Energy,0.05,0.114,wwipl,2023-09-09
ABG Shipyard Limited,Delisted,Shipping,0.02,0.108,wwipl,2023-09-09
Macor Packaging Limited,Illiquid/unquoted,Transport,2.10,0.105,wwipl,2023-09-09
Consolidated Fibres And Chemicals Limited,Delisted,Chemical,0.01,0.104,wwipl,2023-09-09
Padmini Technologies Limited,Delisted,Plastic,0.02,0.103,wwipl,2023-09-09
Arihant Classic Finance Limited,Illiquid/unquoted,Financial Service,0.10,0.101,wwipl,2023-09-09
First Winner Industries Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.02,0.100,wwipl,2023-09-09
Pushpanjali Realms and Infratech Limited,Suspended,Real Estate,0.10,0.100,wwipl,2023-09-09
Naraingarh Sugar Mills Limited,Delisted,Sugar,0.05,0.095,wwipl,2023-09-09
STI India Ltd,Suspended,"Textiles, Yarn, Cotton & Spinning",0.03,0.087,wwipl,2023-09-09
Samtel Color Limited,Delisted,Electricals,0.01,0.085,wwipl,2023-09-09
Dolphin Offshore Enterprises india limited,Suspended,"Energy, Oil & Gas",0.05,0.084,wwipl,2023-09-09
LML Limited,Delisted,Auto Components,0.01,0.082,wwipl,2023-09-09
Sree Maruthi Marine Industries Limited,Illiquid/unquoted,FMCG,1.05,0.082,wwipl,2023-09-09
Delta Impex Limited,Illiquid/unquoted,Financial Service,1.50,0.081,wwipl,2023-09-09
Value Industries Limited,Suspended,FMCG,0.02,0.078,wwipl,2023-09-09
Vimal Oil And Foods Limited,Suspended,Food & Beverages,0.05,0.075,wwipl,2023-09-09
Vikash Metal And Power Limited,Delisted,Metal,0.01,0.071,wwipl,2023-09-09
Supreme Tex Mart Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.01,0.068,wwipl,2023-09-09
Todays Writing Instruments Limited,Delisted,FMCG,0.05,0.064,wwipl,2023-09-09
Hind Syntex Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.05,0.064,wwipl,2023-09-09
Talwalkars Better Value Fitness Limited,Suspended,Healthcare,0.02,0.062,wwipl,2023-09-09
Nextgen Animation Mediaa Limited,Delisted,Media,0.01,0.062,wwipl,2023-09-09
Zylog Systems Limited,Suspended,"IT, Software",0.01,0.059,wwipl,2023-09-09
Tulsi Extrusions Limited,Suspended,Plastic,0.02,0.055,wwipl,2023-09-09
Allsoft Corporation Limited,Delisted,Trading,0.05,0.051,wwipl,2023-09-09
Nijjer Agro Foods Limited,Delisted,Agro Products,0.05,0.051,wwipl,2023-09-09
Lamina Foundries Limited,Unlisted,Auto Components,0.11,0.051,wwipl,2023-09-09
Regency World Consulting Limited,Illiquid/unquoted,Media,0.50,0.050,wwipl,2023-09-09
Surana Corporation Limited,Delisted,"Metal, Steel & Iron",0.02,0.049,wwipl,2023-09-09
ITL Finlease and Securities Limited,Illiquid/unquoted,Financial Service,0.10,0.048,wwipl,2023-09-09
Ancient Leasing Finance and Investment Co Limited,Illiquid/unquoted,Financial Service,0.10,0.046,wwipl,2023-09-09
Servalakshmi Paper Limited,Delisted,Paper,0.01,0.043,wwipl,2023-09-09
Zigma Software Limited,Delisted,"IT, Software",0.01,0.042,wwipl,2023-09-09
Motorol Enterprises Limited,Unlisted,Construction,10.00,0.040,wwipl,2023-09-09
ATN International Ltd,Delisted,Financial Service,0.01,0.039,wwipl,2023-09-09
Pretto Leather Industries Limited,Delisted,Leather Products,0.05,0.039,wwipl,2023-09-09
Visu International Limited,Suspended,"IT, Software",0.01,0.038,wwipl,2023-09-09
The Canara Sales Corporation Limited,Unlisted,Miscellaneous,1.10,0.037,wwipl,2023-09-09
Arihant Threads Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.01,0.036,wwipl,2023-09-09
Modern Thread Ltd,Suspended,"Textiles, Yarn, Cotton & Spinning",0.01,0.035,wwipl,2023-09-09
Ess Dee Aluminium Limited,Suspended,FMCG,0.01,0.032,wwipl,2023-09-09
City Gold Credit Capital Limited,Illiquid/unquoted,Bank,0.10,0.032,wwipl,2023-09-09
Avro Commercial Company Limited,Illiquid/unquoted,Financial Service,0.10,0.031,wwipl,2023-09-09
Uniworth International Limited,Delisted,Retail,0.02,0.030,wwipl,2023-09-09
Sita Shree Food Products Limited,Suspended,Food & Beverages,0.01,0.028,wwipl,2023-09-09
Amar Remedies Limited,Delisted,FMCG,0.01,0.026,wwipl,2023-09-09
DS Kulkarni Developers Limited,Suspended,Construction,0.01,0.026,wwipl,2023-09-09
Five Core Electronics Limited,Suspended,Electricals,0.02,0.025,wwipl,2023-09-09
Ponni Sugars Orissa Limited,Delisted,Sugar,0.01,0.025,wwipl,2023-09-09
Bhuruka Gases Limited,Delisted,GAS,0.01,0.013,wwipl,2023-09-09
Zenith Infotech Limited,Delisted,"IT, Software",0.01,0.013,wwipl,2023-09-09
Anupama Steel Limited,Illiquid/unquoted,"Metal, Steel & Iron",0.05,0.010,wwipl,2023-09-09
DD Ventures Limited,Illiquid/unquoted,Financial Service,0.10,0.009,wwipl,2023-09-09
The Patna Electric Supply Co Limited,Illiquid/unquoted,Electric Equipment,0.10,0.005,wwipl,2023-09-09
K2 Systems Limited,Illiquid/unquoted,"IT, Software",0.10,0.004,wwipl,2023-09-09
Alacrity Electronics Limited,Delisted,Electronics,0.01,0.003,wwipl,2023-09-09
Morning Glory Leasing And Finance Limited,Illiquid/unquoted,Financial Service,0.10,0.002,wwipl,2023-09-09
Temple Leasing And Finance Limited,Illiquid/unquoted,Financial Service,0.10,0.002,wwipl,2023-09-09
Shinewell Leasing Limited,Illiquid/unquoted,Real Estate,0.10,0.002,wwipl,2023-09-09
Goalpost Industries Limited,Illiquid/unquoted,Leather Products,0.10,0.002,wwipl,2023-09-09
Alirox Abrasives Limited,Illiquid/unquoted,Abrasives,0.10,0.002,wwipl,2023-09-09
Champion Commercial Co Ltd,Illiquid/unquoted,Chemical,0.10,0.002,wwipl,2023-09-09
Ayushman Infratech Limited,Illiquid/unquoted,Financial Service,0.10,0.002,wwipl,2023-09-09
Mayurbhanj Trades And Agencies Limited,Illiquid/unquoted,Trading,0.10,0.002,wwipl,2023-09-09
Soma Papers And Industries Limited,Delisted,Investment & Holding,0.01,0.001,wwipl,2023-09-09
Mashaal Impex Limited,Illiquid/unquoted,Retail,0.05,0.001,wwipl,2023-09-09
Shree Krishna Jute Products Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",0.05,0.001,wwipl,2023-09-09
Buckingham Industries Limited,Illiquid/unquoted,Real Estate,0.05,0.001,wwipl,2023-09-09
Nature India Communique Limited,Illiquid/unquoted,Service,0.05,0.001,wwipl,2023-09-09
Supra Industrial Resources Limited,Illiquid/unquoted,Financial Service,0.01,0.000,wwipl,2023-09-09
Efficient Industrial Finance Limited,Illiquid/unquoted,Financial Service,0.01,0.000,wwipl,2023-09-09
Patback Business Limited,Illiquid/unquoted,Retail,0.01,0.000,wwipl,2023-09-09
Chengmari Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",0.10,0.000,wwipl,2023-09-09
