Script Name,Category,Sector,Price (in rupees),Market Cap (in crores)
New Era Alkaloids and Export Limited,Illiquid/unquoted,Chemical,10.00,3.284
Nitu Trading Company Limited,Illiquid/unquoted,Trading,10.00,3.275
Atlas Cycles Haryana Ltd,Suspended,FMCG,5.00,3.252
Fiber Plus Industries Limited,Illiquid/unquoted,Miscellaneous,10.00,3.248
RR Corporate Securities Limited,Illiquid/unquoted,Financial Service,10.00,3.200
Vadilal Dairy International Limited,Delisted,Dairy,10.00,3.194
Austral Coke and Projects Limited,Suspended,Metal,0.11,3.193
Ritman Infra Limited,Illiquid/unquoted,Real Estate,10.00,3.193
Technical Associates Infrapower Limited,Illiquid/unquoted,Engineering,5.30,3.180
Regal Enterprises Limited,Illiquid/unquoted,Miscellaneous,10.00,3.165
Prabhat Securities Limited,Illiquid/unquoted,Financial Service,10.80,3.132
Aurum Capital Projects Limited,Illiquid/unquoted,Financial Service,9.70,3.114
Tarangini Investments Limited,Illiquid/unquoted,Investment & Holding,1.00,3.106
River Front Hotels Limited,Illiquid/unquoted,Hotel or Catering,10.30,3.098
Encore Business System Limited,Illiquid/unquoted,Miscellaneous,10.00,3.097
Gracious Vanijya Limited,Illiquid/unquoted,Financial Service,13.50,3.084
Jain Farms And Resorts Limited,Illiquid/unquoted,Real Estate,10.25,3.075
Grand Foundry Ltd,Delisted,"Metal, Steel & Iron",1.01,3.073
Lingapur Estates Limited,Unlisted,"Tea, Coffee & Plantation",20.00,3.068
RCS Financial Technology Limited,Illiquid/unquoted,Financial Service,10.00,3.065
Slesha Commercial Limited,Illiquid/unquoted,Financial Service,10.00,3.049
Sicom Limited,Unlisted,NBFC,0.50,3.038
Amrit India Limited,Illiquid/unquoted,Service,10.00,3.038
Samyak Corporation Limited,Illiquid/unquoted,Financial Service,9.95,3.034
Kiranglobal Business Investment Limited,Illiquid/unquoted,Financial Service,10.00,3.022
Kumar Food Industries Limited,Illiquid/unquoted,FMCG,10.00,3.000
Fedders Electric and Engineering Limited,Suspended,Engineering,0.10,3.000
Nakoda Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.01,3.000
Ellora Traders Limited,Illiquid/unquoted,Financial Service,10.00,2.992
Baghmari Tea Co Ltd,Unlisted,Other,90.00,2.970
Udaipur Cotton Mills Company Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,2.929
Greenearth Resources And Projects Limited,Delisted,Mining & Minerals,0.10,2.903
Supraneet Finance and Consultants Limited,Illiquid/unquoted,Financial Service,10.00,2.877
The Teloijan Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",160.00,2.870
SNS Laboratories Limited,Illiquid/unquoted,Financial Service,10.00,2.863
KRA Leasing Limited,Illiquid/unquoted,Financial Service,2.05,2.750
Celestial Biolabs Limited,Suspended,Pharma,1.21,2.733
JRD Finance Limited,Illiquid/unquoted,Financial Service,10.00,2.720
Distinctive Properties and Leasing Ltd,Illiquid/unquoted,Real Estate,26.85,2.678
Amarawati Tea Co Ltd,Unlisted,Other,"2,200.00",2.640
Indo Bonito Multinational Limited,Delisted,Financial Service,1.00,2.494
Hirajuli Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",160.00,2.450
Ace Stone Craft Limited,Illiquid/unquoted,Ceramics & Granite,1.04,2.443
Valecha Engineering Limited,Suspended,Engineering,1.05,2.366
Thanjavur Spinning Mill Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",20.00,2.347
Brisk Services Limited,Illiquid/unquoted,Service,31.00,2.309
Mrigaya Estate And Finance Limited,Illiquid/unquoted,Financial Service,14.45,2.211
Spangle Marketing Limited,Illiquid/unquoted,Financial Service,10.00,2.202
Dhelakhat Tea Co Ltd,Unlisted,Other,55.00,2.160
Purity Flexpack Limited,Illiquid/unquoted,Packaging,20.00,2.147
Birla Power Solution Limited,Delisted,Electric Equipment,0.01,2.135
Nidhi Services Limited,Illiquid/unquoted,Service,14.02,2.103
Kalyani Tea Co Limited,Unlisted,"Tea, Coffee & Plantation",210.00,2.075
Associated Ceramics Limited,Delisted,Engineering,10.00,2.045
E L Forge Limited,Delisted,"Metal, Steel & Iron",1.00,2.032
Eastern Dooars Tea Co ltd,Illiquid/unquoted,"Tea, Coffee & Plantation",101.00,2.020
Saanvi Advisors Limited,Illiquid/unquoted,Financial Service,10.00,2.011
Capital Finvest Limited,Illiquid/unquoted,Financial Service,10.00,2.000
Amar Vanijya Limited,Illiquid/unquoted,Miscellaneous,10.00,1.992
Pillar Investment Company Limited,Illiquid/unquoted,Investment & Holding,10.00,1.985
P R Holdings Limited,Illiquid/unquoted,Real Estate,10.00,1.890
Kanco Enterprises Limited,Delisted,Cotton,1.00,1.793
Gujarat Wedge Wire Screens Limited,Delisted,Miscellaneous,20.00,1.645
Ritz Mercantile Limited,Illiquid/unquoted,Financial Service,15.25,1.601
Sharp Commercial Enterprises Limited,Illiquid/unquoted,Retail,10.00,1.590
Simplex Projects Limited,Suspended,Engineering,1.20,1.512
Alchemist Limited,Suspended,Miscellaneous,1.11,1.505
Nidhan Commercial Company Ltd,Illiquid/unquoted,Miscellaneous,50.40,1.504
Electra Jaipur Limited,Illiquid/unquoted,Electricals,10.00,1.496
Be Swasth Healthcare Limited,Illiquid/unquoted,Healthcare,13.25,1.483
Jeco Exports And Finance Limited,Illiquid/unquoted,Financial Service,10.00,1.482
Uttaranchal Leasing Limited,Illiquid/unquoted,Financial Service,10.10,1.414
Uddhav Properties Limited,Illiquid/unquoted,Financial Service,10.00,1.410
SNS Diagnostics Limited,Illiquid/unquoted,Financial Service,10.00,1.350
Mangalam Engineering Projects Limited,Illiquid/unquoted,Financial Service,10.10,1.237
Aditri Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",0.96,1.197
Denim Developers Limited,Illiquid/unquoted,Real Estate,1.10,1.168
SAB Electronic Devices Limited,Illiquid/unquoted,Electronics,10.00,1.160
Impala Industrial Enterprises Limited,Illiquid/unquoted,Financial Service,1.05,1.155
Abhinandan Enterprises Limited,Illiquid/unquoted,Financial Service,10.00,1.155
Avail Holding Limited,Illiquid/unquoted,Real Estate,10.00,1.150
Devrup Trading Limited,Illiquid/unquoted,Financial Service,10.00,1.130
Technofab Engineering Ltd,Suspended,Engineering,1.05,1.101
Nawratan Arts Limited,Illiquid/unquoted,Trading,10.00,1.100
Basant India Limited,Illiquid/unquoted,Financial Service,1.05,1.083
Blue Blends India Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.50,1.083
Shri Gurudev En Trade Limited,Illiquid/unquoted,Financial Service,10.00,1.076
PB Global Limited,Delisted,Pesticides,10.00,1.050
The Southern Gas Limited,Unlisted,GAS,451.00,1.015
Bhairav Enterprises Limited,Illiquid/unquoted,Financial Service,10.00,1.000
Fortune Industrial Resources Limited,Illiquid/unquoted,Financial Service,10.00,1.000
Rishabh Enterprises Limited,Illiquid/unquoted,Financial Service,10.00,1.000
Shreyans Financial And Capital Services Limited,Illiquid/unquoted,Financial Service,10.00,1.000
SNS Properties And Leasing Limited,Illiquid/unquoted,Real Estate,10.00,1.000
Skyweb Infotech Limited,Illiquid/unquoted,"IT, Software",10.00,1.000
Premium Merchants Limited,Illiquid/unquoted,Trading,10.00,0.998
Dhaval Exports Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,0.996
Infinium Precious Resources Limited,Illiquid/unquoted,Precious Metals,1.00,0.961
Porsche Capital Market Limited,Illiquid/unquoted,Financial Service,0.50,0.948
Teesta Valley Tea Company Limited,Unlisted,Agriculture & Agro Products,63.00,0.945
Winmore Leasing And Holdings Limited,Illiquid/unquoted,Investment & Holding,9.20,0.919
Emrald Commercial Limited,Illiquid/unquoted,Financial Service,0.21,0.916
Associated Finman Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,0.905
Arcuttipore Tea Company Limited,Delisted,"Tea, Coffee & Plantation",1.80,0.903
Reliance Infotek Limited,Illiquid/unquoted,Trading,1.00,0.900
NMS Resources Global Limited,Illiquid/unquoted,Service,2.85,0.857
N K Textile Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,0.840
Newage Marketing Limited,Illiquid/unquoted,Healthcare,10.00,0.836
The Arya Vaidya Pharmacy coimbatore Limited,Unlisted,Pharma,1.00,0.823
Molind Engineering Limited,Illiquid/unquoted,Engineering,3.20,0.811
Abhishek Corporation Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.50,0.800
Priya International Limited,Illiquid/unquoted,"IT, Software",7.50,0.747
Shree Vijay Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,0.743
Atlantic Commercial Company Limited,Illiquid/unquoted,Miscellaneous,10.00,0.735
Sunita Bonds and Holdings Limited,Illiquid/unquoted,Investment & Holding,10.00,0.695
Gaylord Commercial Company Limited,Illiquid/unquoted,Financial Service,10.00,0.640
Apeejay Tea Limited,Delisted,"Tea, Coffee & Plantation",101.00,0.621
Castle Traders Limited,Illiquid/unquoted,Financial Service,25.00,0.613
MVL Limited,Suspended,Real Estate,0.01,0.601
Gitanjali Gems Limited,Suspended,Miscellaneous,0.05,0.573
Shilpi Cable Technologies Limited,Delisted,Cables,0.05,0.553
Supreme Commercial Enterprises Limited,Illiquid/unquoted,Financial Service,10.00,0.536
KSK Energy Ventures Limited,Suspended,Power & Electricity,0.01,0.424
DQ Entertainment  International Limited,Suspended,Entertainment,0.05,0.396
Kabirdas Investments Limited,Illiquid/unquoted,Financial Service,1.00,0.396
Bhagheeratha Engineering Ltd,Delisted,Construction,0.50,0.391
Usher Agro Limited,Delisted,Agriculture & Agro Products,0.05,0.388
TECIL Chemicals And Hydro Power Ltd,Suspended,Chemical,0.20,0.379
Flare Finance India Limited,Illiquid/unquoted,Financial Service,0.20,0.371
Online Information Technologies Limited,Illiquid/unquoted,"IT, Software",0.20,0.319
Entegra Limited,Delisted,Power & Electricity,0.01,0.317
Rathi Steel and Power Limited,Delisted,"Metal, Steel & Iron",0.10,0.313
P K Leasing And Finance Limited,Illiquid/unquoted,Financial Service,1.00,0.311
Twenty First  Century Securities Limited,Illiquid/unquoted,Service,1.00,0.301
S Kumars Nationwide Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.01,0.297
Abacus Computers Limited,Delisted,"IT, Software",1.00,0.285
SRS Limited,Suspended,Miscellaneous,0.01,0.279
Jord Engineers India Limited,Delisted,Engineering,0.10,0.276
Besta Vision Electronics Limited,Illiquid/unquoted,Electric Equipment,0.10,0.271
VHCL Industries Limited,Delisted,Metal,0.01,0.257
Bharati Defence and Infrastructure Limited,Suspended,Shipping,0.05,0.251
Morn Media Limited,Illiquid/unquoted,Publication,5.01,0.251
Lacy Limited,Illiquid/unquoted,FMCG,5.01,0.248
SEMAYA LIMITED,Illiquid/unquoted,Financial Service,9.99,0.248
Anus Laboratories Limited,Delisted,Pharma,0.01,0.242
Moser Baer Limited,Delisted,Renewable Energy,0.01,0.222
Bilpower Limited,Delisted,"Metal, Steel & Iron",0.10,0.210
The Tropical Plantations Limited,Unlisted,"Tea, Coffee & Plantation",10.00,0.200
Resurgere Mines and Minerals Limited,Suspended,Mining & Minerals,0.01,0.199
Girdharilal Sugar and Allied Industries,Delisted,FMCG,0.10,0.192
Pochiraju Industries Limited,Delisted,Miscellaneous,0.10,0.189
Cox and Kings Financial Service Limited,Suspended,Financial Service,0.01,0.177
Euro Ceramics Limited,Suspended,Ceramics & Granite,0.05,0.169
Best and Crompton Engineering Limited,Delisted,Engineering,0.01,0.161
Talwalkars Healthclubs Limited,Suspended,Healthcare,0.05,0.155
Nu Tek India Ltd,Suspended,Telecomm,0.01,0.155
Atcom Technologies Limited,Suspended,Electronics,0.10,0.153
Laffan Software Limited,Illiquid/unquoted,"IT, Software",0.10,0.152
SM Dyechem Limited,Delisted,Dyes & Pigment,0.10,0.148
Eastern Sugar And Industries Ltd,Suspended,Sugar,0.05,0.146
Shirpur Gold Refinery Limited,Suspended,Mining & Minerals,0.05,0.146
Winsome Yarns Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.02,0.141
Namaste Exports Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.01,0.137
Surana Industries Limited,Delisted,Trading,0.03,0.134
Logic Infotech Limited,Illiquid/unquoted,Financial Service,0.05,0.132
Autoriders Finance Ltd,Delisted,Financial Service,0.10,0.131
Rakan Steels Limited,Illiquid/unquoted,"Metal, Steel & Iron",0.04,0.130
The Kohinoor Tea Co Limited,Unlisted,"Tea, Coffee & Plantation",110.01,0.129
PSL Limited,Suspended,"Metal, Steel & Iron",0.01,0.125
Zicom Electronic Security Systems Ltd,Suspended,Electronics,0.03,0.124
Hanung Toys and Textiles Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.04,0.123
Euro Multivision Limited,Suspended,Miscellaneous,0.05,0.119
XL Energy Limited,Suspended,Renewable Energy,0.05,0.114
ABG Shipyard Limited,Delisted,Shipping,0.02,0.108
Macor Packaging Limited,Illiquid/unquoted,Transport,2.10,0.105
Consolidated Fibres And Chemicals Limited,Delisted,Chemical,0.01,0.104
Padmini Technologies Limited,Delisted,Plastic,0.02,0.103
Arihant Classic Finance Limited,Illiquid/unquoted,Financial Service,0.10,0.101
First Winner Industries Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.02,0.100
Pushpanjali Realms and Infratech Limited,Suspended,Real Estate,0.10,0.100
Naraingarh Sugar Mills Limited,Delisted,Sugar,0.05,0.095
STI India Ltd,Suspended,"Textiles, Yarn, Cotton & Spinning",0.03,0.087
Samtel Color Limited,Delisted,Electricals,0.01,0.085
Dolphin Offshore Enterprises india limited,Suspended,"Energy, Oil & Gas",0.05,0.084
LML Limited,Delisted,Auto Components,0.01,0.082
Sree Maruthi Marine Industries Limited,Illiquid/unquoted,FMCG,1.05,0.082
Delta Impex Limited,Illiquid/unquoted,Financial Service,1.50,0.081
Value Industries Limited,Suspended,FMCG,0.02,0.078
Vimal Oil And Foods Limited,Suspended,Food & Beverages,0.05,0.075
Vikash Metal And Power Limited,Delisted,Metal,0.01,0.071
Supreme Tex Mart Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.01,0.068
Todays Writing Instruments Limited,Delisted,FMCG,0.05,0.064
Hind Syntex Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.05,0.064
Talwalkars Better Value Fitness Limited,Suspended,Healthcare,0.02,0.062
Nextgen Animation Mediaa Limited,Delisted,Media,0.01,0.062
Zylog Systems Limited,Suspended,"IT, Software",0.01,0.059
Tulsi Extrusions Limited,Suspended,Plastic,0.02,0.055
Allsoft Corporation Limited,Delisted,Trading,0.05,0.051
Nijjer Agro Foods Limited,Delisted,Agro Products,0.05,0.051
Lamina Foundries Limited,Unlisted,Auto Components,0.11,0.051
Regency World Consulting Limited,Illiquid/unquoted,Media,0.50,0.050
Surana Corporation Limited,Delisted,"Metal, Steel & Iron",0.02,0.049
ITL Finlease and Securities Limited,Illiquid/unquoted,Financial Service,0.10,0.048
Ancient Leasing Finance and Investment Co Limited,Illiquid/unquoted,Financial Service,0.10,0.046
Servalakshmi Paper Limited,Delisted,Paper,0.01,0.043
Zigma Software Limited,Delisted,"IT, Software",0.01,0.042
Motorol Enterprises Limited,Unlisted,Construction,10.00,0.040
ATN International Ltd,Delisted,Financial Service,0.01,0.039
Pretto Leather Industries Limited,Delisted,Leather Products,0.05,0.039
Visu International Limited,Suspended,"IT, Software",0.01,0.038
The Canara Sales Corporation Limited,Unlisted,Miscellaneous,1.10,0.037
Arihant Threads Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.01,0.036
Modern Thread Ltd,Suspended,"Textiles, Yarn, Cotton & Spinning",0.01,0.035
Ess Dee Aluminium Limited,Suspended,FMCG,0.01,0.032
City Gold Credit Capital Limited,Illiquid/unquoted,Bank,0.10,0.032
Avro Commercial Company Limited,Illiquid/unquoted,Financial Service,0.10,0.031
Uniworth International Limited,Delisted,Retail,0.02,0.030
Sita Shree Food Products Limited,Suspended,Food & Beverages,0.01,0.028
Amar Remedies Limited,Delisted,FMCG,0.01,0.026
DS Kulkarni Developers Limited,Suspended,Construction,0.01,0.026
Five Core Electronics Limited,Suspended,Electricals,0.02,0.025
Ponni Sugars Orissa Limited,Delisted,Sugar,0.01,0.025
Bhuruka Gases Limited,Delisted,GAS,0.01,0.013
Zenith Infotech Limited,Delisted,"IT, Software",0.01,0.013
Anupama Steel Limited,Illiquid/unquoted,"Metal, Steel & Iron",0.05,0.010
DD Ventures Limited,Illiquid/unquoted,Financial Service,0.10,0.009
The Patna Electric Supply Co Limited,Illiquid/unquoted,Electric Equipment,0.10,0.005
K2 Systems Limited,Illiquid/unquoted,"IT, Software",0.10,0.004
Alacrity Electronics Limited,Delisted,Electronics,0.01,0.003
Morning Glory Leasing And Finance Limited,Illiquid/unquoted,Financial Service,0.10,0.002
Temple Leasing And Finance Limited,Illiquid/unquoted,Financial Service,0.10,0.002
Shinewell Leasing Limited,Illiquid/unquoted,Real Estate,0.10,0.002
Goalpost Industries Limited,Illiquid/unquoted,Leather Products,0.10,0.002
Alirox Abrasives Limited,Illiquid/unquoted,Abrasives,0.10,0.002
Champion Commercial Co Ltd,Illiquid/unquoted,Chemical,0.10,0.002
Ayushman Infratech Limited,Illiquid/unquoted,Financial Service,0.10,0.002
Mayurbhanj Trades And Agencies Limited,Illiquid/unquoted,Trading,0.10,0.002
Soma Papers And Industries Limited,Delisted,Investment & Holding,0.01,0.001
Mashaal Impex Limited,Illiquid/unquoted,Retail,0.05,0.001
Shree Krishna Jute Products Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",0.05,0.001
Buckingham Industries Limited,Illiquid/unquoted,Real Estate,0.05,0.001
Nature India Communique Limited,Illiquid/unquoted,Service,0.05,0.001
Supra Industrial Resources Limited,Illiquid/unquoted,Financial Service,0.01,0.000
Efficient Industrial Finance Limited,Illiquid/unquoted,Financial Service,0.01,0.000
Patback Business Limited,Illiquid/unquoted,Retail,0.01,0.000
Chengmari Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",0.10,0.000
